Designator,Mid X,Mid Y,Layer,Rotation
D1,65.998912,-55.0,T,180.0
D1,65.998912,-69.0,T,180.0
D1,11.998912,-27.0,T,180.0
D1,38.998912,-41.0,T,180.0
D1,65.998912,-13.0,T,180.0
D1,11.998912,-41.0,T,180.0
D1,11.998912,-55.0,T,180.0
D1,38.998912,-13.0,T,180.0
D1,65.998912,-41.0,T,180.0
D1,38.998912,-69.0,T,180.0
D1,11.998912,-13.0,T,180.0
D1,11.998912,-69.0,T,180.0
D1,38.998912,-55.0,T,180.0
D1,65.998912,-27.0,T,180.0
D1,38.998912,-27.0,T,180.0
R1,67.998912,-16.0,T,270.0
R1,13.998912,-30.0,T,270.0
R1,13.998912,-72.0,T,270.0
R1,40.998912,-58.0,T,270.0
R1,67.998912,-58.0,T,270.0
R1,13.998912,-44.0,T,270.0
R1,67.998912,-30.0,T,270.0
R1,40.998912,-30.0,T,270.0
R1,40.998912,-72.0,T,270.0
R1,13.998912,-58.0,T,270.0
R1,13.998912,-16.0,T,270.0
R1,40.998912,-44.0,T,270.0
R1,67.998912,-44.0,T,270.0
R1,40.998912,-16.0,T,270.0
R1,67.998912,-72.0,T,270.0
R2,11.998912,-44.0,T,270.0
R2,65.998912,-16.0,T,270.0
R2,65.998912,-58.0,T,270.0
R2,38.998912,-44.0,T,270.0
R2,65.998912,-44.0,T,270.0
R2,11.998912,-30.0,T,270.0
R2,38.998912,-30.0,T,270.0
R2,11.998912,-58.0,T,270.0
R2,38.998912,-72.0,T,270.0
R2,38.998912,-16.0,T,270.0
R2,38.998912,-58.0,T,270.0
R2,11.998912,-16.0,T,270.0
R2,65.998912,-30.0,T,270.0
R2,65.998912,-72.0,T,270.0
R2,11.998912,-72.0,T,270.0
